#incr = 0.9 0.1
#Score		Time		Time
#mean	ci	mean	ci	
0.0971	0.0001	3.9011	0.0059	6.5792
0.0890	0.0002	2.5725	0.0055	6.5792


#incr = 0.9 1
#Score		Time		Time
#mean	ci	mean	ci	
0.0904	0.0002	3.6242	0.0043	6.2937
0.0889	0.0002	2.5674	0.0050	6.2937


#incr = 0.9 10
#Score		Time		Time
#mean	ci	mean	ci	
0.0898	0.0002	3.6194	0.0044	6.2878
0.0891	0.0002	2.5681	0.0045	6.2878


#incr = 0.9 100
#Score		Time		Time
#mean	ci	mean	ci	
0.0894	0.0002	3.6183	0.0056	6.2861
0.0889	0.0002	2.5690	0.0054	6.2861


#incr = 0.99 0.1
#Score		Time		Time
#mean	ci	mean	ci	
0.5904	0.0007	4.8498	0.0085	7.5284
0.4429	0.0012	2.5673	0.0044	7.5284


#incr = 0.99 1
#Score		Time		Time
#mean	ci	mean	ci	
0.4466	0.0010	3.6270	0.0043	6.2971
0.4415	0.0010	2.5680	0.0039	6.2971


#incr = 0.99 10
#Score		Time		Time
#mean	ci	mean	ci	
0.4449	0.0010	3.6251	0.0046	6.2952
0.4422	0.0011	2.5686	0.0042	6.2952


#incr = 0.99 100
#Score		Time		Time
#mean	ci	mean	ci	
0.4430	0.0012	3.6192	0.0044	6.2862
0.4409	0.0010	2.5666	0.0049	6.2862


#incr = 1 0.1
#Score		Time		Time
#mean	ci	mean	ci	
0.9898	0.0010	5.3343	0.0128	8.0149
0.6886	0.0017	2.5691	0.0042	8.0149


#incr = 1 1
#Score		Time		Time
#mean	ci	mean	ci	
0.6969	0.0017	3.6290	0.0046	6.3016
0.6902	0.0017	2.5705	0.0045	6.3016


#incr = 1 10
#Score		Time		Time
#mean	ci	mean	ci	
0.6908	0.0017	3.6259	0.0050	6.2967
0.6895	0.0017	2.5691	0.0058	6.2967


#incr = 1 100
#Score		Time		Time
#mean	ci	mean	ci	
0.6902	0.0017	3.6156	0.0042	6.2823
0.6905	0.0016	2.5662	0.0059	6.2823


#incr = 1.01 0.1
#Score		Time		Time
#mean	ci	mean	ci	
1.6046	0.0033	5.3957	0.0142	8.0709
1.1901	0.0029	2.5763	0.0049	8.0709


#incr = 1.01 1
#Score		Time		Time
#mean	ci	mean	ci	
1.1929	0.0027	3.6266	0.0045	6.2980
1.1892	0.0028	2.5694	0.0041	6.2980


#incr = 1.01 10
#Score		Time		Time
#mean	ci	mean	ci	
1.1939	0.0032	3.6177	0.0043	6.2890
1.1896	0.0029	2.5697	0.0041	6.2890


#incr = 1.01 100
#Score		Time		Time
#mean	ci	mean	ci	
1.1903	0.0030	3.6189	0.0042	6.2879
1.1876	0.0030	2.5683	0.0040	6.2879


#incr = 1.1 0.1
#Score		Time		Time
#mean	ci	mean	ci	
1237.4711	4.0158	5.6555	0.0070	8.3162
1204.5808	3.1024	2.5754	0.0045	8.3162


#incr = 1.1 1
#Score		Time		Time
#mean	ci	mean	ci	
1240.2611	4.1901	5.6679	0.0083	8.3257
1204.4173	3.2643	2.5723	0.0052	8.3257


#incr = 1.1 10
#Score		Time		Time
#mean	ci	mean	ci	
1242.9516	3.5635	5.6273	0.0081	8.2853
1208.1832	3.1546	2.5718	0.0043	8.2853


#incr = 1.1 100
#Score		Time		Time
#mean	ci	mean	ci	
1207.1282	3.2279	3.8777	0.0084	6.5456
1205.9015	3.0578	2.5712	0.0047	6.5456


